epochs,test_kl_losses,test_losses,test_recon_latent_losses,test_recon_losses,train_kl_losses,train_losses,train_recon_latent_losses,train_recon_losses
14,30.596908363136084,108.86841830691776,0.0772140696644783,24.51038092535895,33.20357603580019,120.16865960150719,0.06040201664622322,35.640902510091266
15,32.92823626544025,116.48202390928526,0.09510872956063296,22.09293154123667,33.03836061131535,119.60056679027083,0.060054153173796,35.50759958216057
16,35.02887148470492,134.63398000356312,0.13553945841015996,23.914398915058857,32.99779927477277,119.29947476867017,0.060034341341678024,35.29357388193123
17,30.510870907757734,114.89042251174514,0.09734255840649476,24.665913710723053,32.88255702058267,118.88142553400553,0.05973920587856402,35.19454958728696
18,31.186593493899785,102.59250187229466,0.058576113166841304,22.64648045720281,32.64920648304439,118.16868129253221,0.059251205318029,35.09490673087773
19,32.39843399460251,113.39785869701488,0.08862633761521932,22.013090082117028,32.57439189221294,117.89315502521511,0.05927772365526034,34.96105413476751
20,30.209962690198743,105.96576195794182,0.07185394780055897,23.989652015067435,32.401813327871686,117.32484739310897,0.05881433205134733,34.87692114817727
21,30.550008722253747,112.51202640017948,0.0909076284717869,24.139720195048564,32.279557120795864,116.96741858362445,0.058748890461224335,34.78363723499108
22,30.958470112568623,100.5106852763408,0.05421223008149379,22.330076217651367,32.160808113301435,116.60403305327424,0.0585550400553364,34.71590482794171
23,30.854327124518317,103.9581725661819,0.0660233423113823,22.442515295905036,32.12896019438342,116.40424365525627,0.05849633052768669,34.597424105707674
24,30.059201936464053,104.01080940865181,0.06646785834753835,23.952046935622757,31.98469039647266,115.99630483722322,0.058232145435532,34.55728042951987
25,30.45697021484375,104.53532842687659,0.06604016008409294,23.809340141914987,31.70516878783765,115.43880872816128,0.058008522361657086,34.62591444860556
26,29.687005378104544,102.22152256321263,0.06508036139043602,23.323402559435046,31.48553235237709,114.8688187627417,0.05744673543681369,34.6637334033032
27,28.999478314373945,101.87996879783836,0.06493348608145842,24.400965716387773,31.26942865743076,114.42392778413215,0.057236953780576666,34.7139843304952
28,30.14514923095703,104.17627509864602,0.07054702857056179,22.7218677417652,31.15034178083095,114.13051318690486,0.057052123445325904,34.71419259722081
29,29.077608366270322,100.97750524572425,0.06560528922725369,23.140701036195498,30.667804366078204,113.12568553006429,0.056240414823974745,34.9179523599891
30,28.293486827128643,99.00827129467113,0.06130916111775347,24.028549709835566,30.38441634252901,112.53048080834974,0.055857858177143414,35.00429059320607
31,27.728866731798327,97.08045794512775,0.058417257626314424,24.097546964078337,29.754020641091724,111.1676863634142,0.054722191190761646,35.24298766513852
32,27.13136358518858,96.68800539583773,0.05921585878004899,24.660519007089977,29.170984239953604,109.92765159567072,0.05387048938680467,35.42453628747316
33,26.90880388826937,95.0600060127877,0.057769058926685435,23.911681355656803,28.581287862199062,108.51297138443977,0.052858647467709304,35.49280146031129
34,26.08741012779442,92.78669017070048,0.05470001747882044,24.2018643972036,27.9873410415583,107.06991581134537,0.05193484875752105,35.514779062978654
35,25.292154724533493,89.78367449786212,0.0476903171354049,24.892270320170635,27.417436860820967,105.54650474317145,0.0509424904511884,35.42888389867758
36,25.31113995732488,94.15370673102302,0.06312952603440027,24.592568577946842,27.18624371313044,104.72887557244641,0.05057653018284118,35.183429084559926
37,24.595687763111012,91.21430309398754,0.057707282135615476,24.7107427442396,26.557403250381697,103.03729800985317,0.04932768788683066,35.12418520803528
38,24.260159982217324,90.8611357405379,0.05831438464087409,24.846500242078626,26.073601739326033,101.40347159494303,0.048228890598092766,34.78760091870639
39,25.617437620420713,91.71655294057486,0.05638855182238527,23.56511301607699,26.172665647163246,101.5012689854201,0.04914412296885441,34.41270075389127
40,24.17496799778294,91.17361079035578,0.058765271426858126,25.19409298252415,25.42025945378446,99.32248839680969,0.047375082128198874,34.26944484448275
41,23.170683474154085,88.65890585409629,0.055369557359734096,25.70667132815799,25.025039336524415,97.80135399072023,0.04642212468071947,33.824637909460385
42,22.482715606689453,87.4764033137141,0.05614396446460002,25.66778260308343,24.748909909564915,96.56793689362391,0.04567719113084289,33.36695971234839
43,23.711742349573083,87.69917194263355,0.05791085918207426,22.902429426038587,24.50591945199757,95.3838374510911,0.044906899215571144,32.899928728573336
44,22.722957920383763,84.97581399453652,0.051868566790142574,23.969327462686074,24.291315079399702,94.46672729431067,0.04441013212926564,32.56105749551447
